,DAY,HOUR,LAT,LON,MONTH,YEAR,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,visibility,windBearing,windSpeed
0,2,0,37.542,-121.991,4,2018,55.43,0.08,47.94,0.76,clear-night,0.0,0.0,,1012.88,Clear,55.43,1522652400,10.0,227,3.11
1,2,1,37.542,-121.991,4,2018,54.45,0.08,48.12,0.79,clear-night,0.0,0.0,,1013.04,Clear,54.45,1522656000,10.0,247,2.35
2,2,2,37.542,-121.991,4,2018,54.04,0.04,48.13,0.8,clear-night,0.0,0.0,,1012.88,Clear,54.04,1522659600,9.78,245,2.52
3,2,3,37.542,-121.991,4,2018,53.33,0.04,48.27,0.83,clear-night,0.0,0.0,,1012.66,Clear,53.33,1522663200,9.88,235,2.33
4,2,4,37.542,-121.991,4,2018,52.88,0.04,48.12,0.84,clear-night,0.0,0.0,,1012.29,Clear,52.88,1522666800,9.78,202,3.42
5,2,5,37.542,-121.991,4,2018,52.33,0.04,47.3,0.83,clear-night,0.0,0.0,,1012.06,Clear,52.33,1522670400,9.88,251,3.33
6,2,6,37.542,-121.991,4,2018,52.2,0.11,47.37,0.84,clear-night,0.0,0.0,,1012.33,Clear,52.2,1522674000,9.73,258,5.72
7,2,7,37.542,-121.991,4,2018,51.87,0.13,47.09,0.84,clear-day,0.0,0.0,,1012.77,Clear,51.87,1522677600,9.91,258,5.09
8,2,8,37.542,-121.991,4,2018,53.21,0.13,47.58,0.81,clear-day,0.0,0.0,,1013.21,Clear,53.21,1522681200,9.66,262,3.35
9,2,9,37.542,-121.991,4,2018,55.64,0.16,48.33,0.76,clear-day,0.0,0.0,,1013.53,Clear,55.64,1522684800,10.0,209,2.71
10,2,10,37.542,-121.991,4,2018,57.27,0.13,48.63,0.73,clear-day,0.0,0.0,,1013.62,Clear,57.27,1522688400,10.0,188,2.9
11,2,11,37.542,-121.991,4,2018,59.46,0.12,48.98,0.68,clear-day,0.0,0.0,,1013.7,Clear,59.46,1522692000,10.0,217,2.14
12,2,12,37.542,-121.991,4,2018,61.73,0.22,49.23,0.64,clear-day,0.0,0.0,,1013.47,Clear,61.73,1522695600,10.0,254,1.38
13,2,13,37.542,-121.991,4,2018,64.31,0.19,48.5,0.56,clear-day,0.0,0.0,,1013.02,Clear,64.31,1522699200,10.0,271,3.63
14,2,14,37.542,-121.991,4,2018,65.62,0.18,48.48,0.54,clear-day,0.0,0.0,,1012.82,Clear,65.62,1522702800,10.0,286,8.64
15,2,15,37.542,-121.991,4,2018,65.89,0.13,47.18,0.51,clear-day,0.0,0.0,,1012.45,Clear,65.89,1522706400,10.0,308,10.31
16,2,16,37.542,-121.991,4,2018,65.46,0.13,46.75,0.51,wind,0.0,0.0,,1012.21,Windy,65.46,1522710000,10.0,310,29.88
17,2,17,37.542,-121.991,4,2018,64.57,0.13,45.31,0.5,wind,0.0,0.0,,1012.28,Windy,64.57,1522713600,10.0,315,28.78
18,2,18,37.542,-121.991,4,2018,62.34,0.04,43.41,0.5,clear-day,0.0,0.0,,1012.36,Clear,62.34,1522717200,10.0,283,11.4
19,2,19,37.542,-121.991,4,2018,60.05,0.0,43.63,0.55,clear-day,0.0,0.0,,1012.32,Clear,60.05,1522720800,10.0,288,8.57
20,2,20,37.542,-121.991,4,2018,56.65,0.08,43.55,0.61,clear-night,0.0,0.0,,1012.44,Clear,56.65,1522724400,10.0,278,7.65
21,2,21,37.542,-121.991,4,2018,54.61,0.03,44.19,0.68,clear-night,0.0,0.0,,1012.96,Clear,54.61,1522728000,10.0,296,6.24
22,2,22,37.542,-121.991,4,2018,53.58,0.12,43.95,0.7,clear-night,0.0,0.0,,1013.59,Clear,53.58,1522731600,10.0,291,5.36
23,2,23,37.542,-121.991,4,2018,53.0,0.11,44.18,0.72,clear-night,0.0,0.0,,1013.95,Clear,53.0,1522735200,10.0,276,4.17
