,DAY,HOUR,LAT,LON,MONTH,YEAR,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,visibility,windBearing,windSpeed
0,21,0,37.542,-121.991,2,2018,44.11,0.18,33.55,0.66,clear-night,0.0,0.0,,1022.6,Clear,44.11,1519200000,10.0,181,1.84
1,21,1,37.542,-121.991,2,2018,42.74,0.31,33.62,0.7,partly-cloudy-night,0.0,0.0,,1022.33,Partly Cloudy,42.74,1519203600,10.0,175,0.92
2,21,2,37.542,-121.991,2,2018,41.61,0.2,33.08,0.71,clear-night,0.0,0.0,,1022.26,Clear,41.61,1519207200,10.0,121,2.77
3,21,3,37.542,-121.991,2,2018,36.77,0.05,32.84,0.75,clear-night,0.0,0.0,,1021.51,Clear,40.13,1519210800,10.0,122,4.82
4,21,4,37.542,-121.991,2,2018,36.56,0.43,32.8,0.75,partly-cloudy-night,0.0,0.0,,1021.94,Partly Cloudy,39.93,1519214400,10.0,101,4.79
5,21,5,37.542,-121.991,2,2018,38.27,,33.17,0.73,clear-night,0.0,0.0,,1022.26,Clear,41.21,1519218000,10.0,129,4.52
6,21,6,37.542,-121.991,2,2018,38.85,,33.26,0.72,clear-night,0.0,0.0,,1022.4,Clear,41.47,1519221600,10.0,119,4.19
7,21,7,37.542,-121.991,2,2018,38.26,0.17,33.35,0.74,clear-day,0.0,0.0,,1022.57,Clear,41.04,1519225200,10.0,105,4.3
8,21,8,37.542,-121.991,2,2018,39.66,0.21,34.65,0.74,clear-day,0.0,0.0,,1022.94,Clear,42.33,1519228800,10.0,82,4.4
9,21,9,37.542,-121.991,2,2018,42.29,0.22,32.67,0.61,clear-day,0.0,0.0,,1023.03,Clear,45.28,1519232400,10.0,83,5.59
10,21,10,37.542,-121.991,2,2018,48.45,0.23,33.23,0.55,clear-day,0.0,0.0,,1023.16,Clear,48.45,1519236000,10.0,57,2.97
11,21,11,37.542,-121.991,2,2018,50.36,0.19,32.36,0.5,clear-day,0.0,0.0,,1023.44,Clear,50.36,1519239600,10.0,4,2.66
12,21,12,37.542,-121.991,2,2018,51.49,0.22,30.94,0.45,clear-day,0.0,0.0,,1023.17,Clear,51.49,1519243200,10.0,326,3.77
13,21,13,37.542,-121.991,2,2018,52.88,0.19,30.08,0.41,clear-day,0.0,0.0,,1022.41,Clear,52.88,1519246800,10.0,319,4.74
14,21,14,37.542,-121.991,2,2018,54.46,0.19,25.84,0.33,clear-day,0.0,0.0,,1022.12,Clear,54.46,1519250400,10.0,318,6.49
15,21,15,37.542,-121.991,2,2018,54.99,0.25,26.73,0.33,partly-cloudy-day,0.0,0.0,,1022.27,Partly Cloudy,54.99,1519254000,10.0,316,8.35
16,21,16,37.542,-121.991,2,2018,54.87,0.2,26.75,0.34,clear-day,0.0,0.0,,1021.69,Clear,54.87,1519257600,10.0,312,6.23
17,21,17,37.542,-121.991,2,2018,53.92,0.22,27.72,0.36,clear-day,0.0,0.0,,1021.53,Clear,53.92,1519261200,10.0,308,8.54
18,21,18,37.542,-121.991,2,2018,51.44,0.22,29.36,0.42,clear-night,0.0,0.0,,1021.66,Clear,51.44,1519264800,10.0,296,8.89
19,21,19,37.542,-121.991,2,2018,45.11,0.07,32.8,0.53,clear-night,0.0,0.0,,1022.11,Clear,49.41,1519268400,10.0,294,10.58
20,21,20,37.542,-121.991,2,2018,44.57,0.07,34.99,0.6,clear-night,0.0,0.0,,1022.51,Clear,48.02,1519272000,10.0,299,7.51
21,21,21,37.542,-121.991,2,2018,44.13,0.05,35.94,0.66,clear-night,0.0,0.0,,1022.79,Clear,46.8,1519275600,10.0,295,5.54
22,21,22,37.542,-121.991,2,2018,44.34,0.12,35.81,0.67,clear-night,0.0,0.0,,1022.9,Clear,46.26,1519279200,10.0,266,4.27
23,21,23,37.542,-121.991,2,2018,42.2,0.13,35.94,0.71,clear-night,0.0,0.0,,1023.4,Clear,44.77,1519282800,10.0,274,4.82
0,22,0,37.542,-121.991,2,2018,42.51,0.19,35.28,0.71,clear-night,0.0,0.0,,1023.29,Clear,44.03,1519286400,10.0,264,3.41
1,22,1,37.542,-121.991,2,2018,43.46,0.19,35.37,0.73,clear-night,0.0,0.0,,1023.12,Clear,43.46,1519290000,10.0,259,2.97
2,22,2,37.542,-121.991,2,2018,40.18,0.31,36.36,0.72,partly-cloudy-night,0.0,0.0,,1023.06,Partly Cloudy,44.71,1519293600,10.0,279,8.3
3,22,3,37.542,-121.991,2,2018,41.35,,36.74,0.7,clear-night,0.0,0.0,,1022.89,Clear,45.79,1519297200,10.0,281,8.66
4,22,4,37.542,-121.991,2,2018,43.41,0.75,37.54,0.7,partly-cloudy-night,0.0,0.0,,1022.65,Mostly Cloudy,46.75,1519300800,10.0,277,6.73
5,22,5,37.542,-121.991,2,2018,41.93,0.31,37.86,0.72,partly-cloudy-night,0.0,0.0,,1022.6,Partly Cloudy,46.3,1519304400,10.0,276,8.77
6,22,6,37.542,-121.991,2,2018,40.69,0.31,36.85,0.71,partly-cloudy-night,0.0,0.0,,1022.58,Partly Cloudy,45.58,1519308000,10.0,274,9.66
7,22,7,37.542,-121.991,2,2018,40.0,0.31,36.05,0.69,partly-cloudy-day,0.0,0.0,,1023.28,Partly Cloudy,45.51,1519311600,10.0,287,11.34
8,22,8,37.542,-121.991,2,2018,41.05,0.31,33.95,0.63,partly-cloudy-day,0.0,0.0,,1023.63,Partly Cloudy,45.91,1519315200,10.0,290,9.76
9,22,9,37.542,-121.991,2,2018,43.14,0.25,31.78,0.53,partly-cloudy-day,0.0,0.0,,1024.4,Partly Cloudy,47.86,1519318800,10.0,300,10.73
10,22,10,37.542,-121.991,2,2018,45.07,0.22,28.25,0.43,clear-day,0.0,0.0,,1024.72,Clear,49.82,1519322400,10.0,310,12.43
11,22,11,37.542,-121.991,2,2018,51.53,0.21,28.0,0.4,clear-day,0.0,0.0,,1025.05,Clear,51.53,1519326000,10.0,313,14.27
12,22,12,37.542,-121.991,2,2018,52.26,0.31,30.94,0.44,partly-cloudy-day,0.0,0.0,,1024.77,Partly Cloudy,52.26,1519329600,10.0,295,14.74
13,22,13,37.542,-121.991,2,2018,53.59,0.31,35.23,0.5,wind,0.0,0.0,,1023.87,Breezy and Partly Cloudy,53.59,1519333200,10.0,282,17.03
14,22,14,37.542,-121.991,2,2018,52.67,0.31,36.08,0.53,wind,0.0,0.0,,1023.0,Breezy and Partly Cloudy,52.67,1519336800,10.0,284,17.54
15,22,15,37.542,-121.991,2,2018,51.2,0.31,36.95,0.58,wind,0.0018,0.09,rain,1022.53,Breezy and Partly Cloudy,51.2,1519340400,10.0,280,16.65
