,DAY,HOUR,LAT,LON,MONTH,YEAR,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,visibility,windBearing,windSpeed
0,9,0,37.681,-121.775,2,2018,52.2,0.02,43.04,0.71,clear-night,0.0,0.0,,1019.82,Clear,52.2,1518163200,8.65,90,2.07
1,9,1,37.681,-121.775,2,2018,51.41,0.0,42.95,0.73,clear-night,0.0,0.0,,1019.42,Clear,51.41,1518166800,9.32,97,0.53
2,9,2,37.681,-121.775,2,2018,49.52,0.0,42.52,0.77,clear-night,0.0,0.0,,1019.18,Clear,49.52,1518170400,9.32,79,1.88
3,9,3,37.681,-121.775,2,2018,49.34,0.0,42.66,0.78,clear-night,0.0,0.0,,1019.01,Clear,49.34,1518174000,9.32,114,0.71
4,9,4,37.681,-121.775,2,2018,48.01,0.0,41.4,0.78,clear-night,0.0,0.0,,1018.72,Clear,48.01,1518177600,9.32,72,1.63
5,9,5,37.681,-121.775,2,2018,47.89,0.0,42.08,0.8,clear-night,0.0,0.0,,1018.54,Clear,47.89,1518181200,8.65,14,1.72
6,9,6,37.681,-121.775,2,2018,46.88,0.02,41.29,0.81,clear-night,0.0,0.0,,1018.64,Clear,46.88,1518184800,8.65,320,1.0
7,9,7,37.681,-121.775,2,2018,45.48,0.02,41.4,0.86,clear-night,0.0,0.0,,1019.1,Clear,45.48,1518188400,8.79,67,1.94
8,9,8,37.681,-121.775,2,2018,48.93,0.04,42.46,0.78,clear-day,0.0,0.0,,1019.42,Clear,48.93,1518192000,8.25,290,0.63
9,9,9,37.681,-121.775,2,2018,53.91,0.05,44.54,0.71,clear-day,0.0,0.0,,1019.5,Clear,53.91,1518195600,9.88,300,2.08
10,9,10,37.681,-121.775,2,2018,58.38,0.07,47.0,0.66,clear-day,0.0,0.0,,1019.17,Clear,58.38,1518199200,9.88,302,1.58
11,9,11,37.681,-121.775,2,2018,63.5,0.05,48.29,0.58,clear-day,0.0,0.0,,1018.99,Clear,63.5,1518202800,7.7,330,2.54
12,9,12,37.681,-121.775,2,2018,70.62,0.05,49.42,0.47,clear-day,0.0,0.0,,1017.94,Clear,70.62,1518206400,9.88,288,1.99
13,9,13,37.681,-121.775,2,2018,72.52,0.06,47.24,0.41,clear-day,0.0,0.0,,1016.72,Clear,72.52,1518210000,8.15,290,3.69
14,9,14,37.681,-121.775,2,2018,74.72,0.02,44.72,0.34,clear-day,0.0,0.0,,1015.83,Clear,74.72,1518213600,8.15,270,3.87
15,9,15,37.681,-121.775,2,2018,75.69,0.02,46.27,0.35,clear-day,0.0,0.0,,1015.25,Clear,75.69,1518217200,8.79,282,5.42
16,9,16,37.681,-121.775,2,2018,73.61,0.0,48.51,0.41,clear-day,0.0,0.0,,1014.82,Clear,73.61,1518220800,8.25,288,6.92
17,9,17,37.681,-121.775,2,2018,70.75,0.0,48.82,0.46,clear-day,0.0,0.0,,1014.65,Clear,70.75,1518224400,9.88,282,3.39
18,9,18,37.681,-121.775,2,2018,67.24,0.02,47.7,0.5,clear-night,0.0,0.0,,1014.69,Clear,67.24,1518228000,8.72,267,3.86
19,9,19,37.681,-121.775,2,2018,64.26,0.04,47.91,0.55,clear-night,0.0,0.0,,1014.81,Clear,64.26,1518231600,8.73,281,4.01
