,DAY,HOUR,LAT,LON,MONTH,YEAR,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,visibility,windBearing,windSpeed
0,7,0,37.542,-121.991,1,2018,47.45,0.22,45.17,0.92,clear-night,0.0,0.0,,1021.98,Clear,47.45,1515312000,9.39,28,2.58
1,7,1,37.542,-121.991,1,2018,47.4,0.17,45.23,0.92,clear-night,0.0,0.0,,1021.76,Clear,47.4,1515315600,8.89,243,1.3
2,7,2,37.542,-121.991,1,2018,46.65,0.1,44.94,0.94,clear-night,0.0,0.0,,1021.85,Clear,46.65,1515319200,9.59,49,1.28
3,7,3,37.542,-121.991,1,2018,46.31,0.23,44.83,0.95,clear-night,0.0,0.0,,1021.77,Clear,46.31,1515322800,6.16,70,1.95
4,7,4,37.542,-121.991,1,2018,46.4,0.4,44.89,0.94,partly-cloudy-night,0.0,0.0,,1021.39,Partly Cloudy,46.4,1515326400,6.08,55,1.24
5,7,5,37.542,-121.991,1,2018,45.97,0.31,44.93,0.96,partly-cloudy-night,0.0,0.0,,1020.88,Partly Cloudy,45.97,1515330000,3.81,163,1.1
6,7,6,37.542,-121.991,1,2018,46.71,,45.45,0.95,clear-night,0.0,0.0,,1021.13,Clear,46.71,1515333600,4.79,168,1.8
7,7,7,37.542,-121.991,1,2018,46.94,,46.24,0.97,clear-night,0.0,0.0,,1020.88,Clear,46.94,1515337200,6.26,138,2.75
8,7,8,37.542,-121.991,1,2018,47.27,,46.27,0.96,clear-day,0.0,0.0,,1020.95,Clear,47.27,1515340800,5.55,184,1.63
9,7,9,37.542,-121.991,1,2018,49.41,0.31,47.66,0.94,partly-cloudy-day,0.0,0.0,,1020.76,Partly Cloudy,49.41,1515344400,6.74,125,0.79
10,7,10,37.542,-121.991,1,2018,50.09,0.46,47.43,0.91,partly-cloudy-day,0.0,0.0,,1021.36,Partly Cloudy,50.09,1515348000,6.29,318,2.56
11,7,11,37.542,-121.991,1,2018,50.96,0.13,47.64,0.88,clear-day,0.0,0.0,,1020.97,Clear,50.96,1515351600,6.08,60,2.51
12,7,12,37.542,-121.991,1,2018,51.26,0.0,47.39,0.87,clear-day,0.0,0.0,,1019.85,Clear,51.26,1515355200,6.77,24,3.91
13,7,13,37.542,-121.991,1,2018,52.22,0.0,47.33,0.83,clear-day,0.0,0.0,,1019.33,Clear,52.22,1515358800,6.9,336,2.61
