,DAY,HOUR,LAT,LON,MONTH,YEAR,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,visibility,windBearing,windSpeed
0,12,0,37.681,-121.775,3,2018,54.55,0.29,48.85,0.81,partly-cloudy-night,0.0,0.0,,1018.97,Partly Cloudy,54.55,1520838000,9.86,35,1.49
1,12,1,37.681,-121.775,3,2018,52.59,0.04,49.1,0.88,clear-night,0.0,0.0,,1018.77,Clear,52.59,1520841600,9.81,73,2.26
2,12,2,37.681,-121.775,3,2018,52.09,0.02,48.97,0.89,clear-night,0.0,0.0,,1018.97,Clear,52.09,1520845200,9.86,299,0.97
3,12,3,37.681,-121.775,3,2018,51.77,0.0,48.22,0.88,clear-night,0.0,0.0,,1018.78,Clear,51.77,1520848800,9.86,53,1.41
4,12,4,37.681,-121.775,3,2018,50.53,0.15,48.49,0.93,clear-night,0.0,0.0,,1017.97,Clear,50.53,1520852400,9.32,86,1.97
5,12,5,37.681,-121.775,3,2018,50.39,0.04,47.79,0.91,clear-night,0.0,0.0,,1017.44,Clear,50.39,1520856000,9.09,83,1.64
6,12,6,37.681,-121.775,3,2018,49.7,0.02,47.29,0.91,clear-night,0.0,0.0,,1017.4,Clear,49.7,1520859600,9.64,246,0.44
7,12,7,37.681,-121.775,3,2018,49.31,0.09,46.79,0.91,clear-night,0.0,0.0,,1017.43,Clear,49.31,1520863200,9.57,349,1.19
8,12,8,37.681,-121.775,3,2018,48.83,0.09,46.87,0.93,clear-day,0.0,0.0,,1017.75,Clear,48.83,1520866800,7.45,60,2.17
9,12,9,37.681,-121.775,3,2018,53.18,0.07,49.04,0.86,clear-day,0.0,0.0,,1017.59,Clear,53.18,1520870400,9.35,17,2.19
10,12,10,37.681,-121.775,3,2018,57.17,0.07,51.09,0.8,clear-day,0.0,0.0,,1017.57,Clear,57.17,1520874000,9.77,254,2.44
11,12,11,37.681,-121.775,3,2018,61.67,0.06,52.4,0.72,clear-day,0.0,0.0,,1017.08,Clear,61.67,1520877600,9.83,102,4.39
12,12,12,37.681,-121.775,3,2018,66.27,0.31,53.6,0.64,partly-cloudy-day,0.0,0.0,,1016.46,Partly Cloudy,66.27,1520881200,9.82,45,3.57
13,12,13,37.681,-121.775,3,2018,68.2,0.31,54.02,0.61,partly-cloudy-day,0.0,0.0,,1015.43,Partly Cloudy,68.2,1520884800,9.87,55,4.35
14,12,14,37.681,-121.775,3,2018,70.06,0.31,53.95,0.57,partly-cloudy-day,0.0,0.0,,1014.35,Partly Cloudy,70.06,1520888400,9.87,11,3.18
15,12,15,37.681,-121.775,3,2018,70.02,,54.13,0.57,clear-day,0.0,0.0,,1013.79,Clear,70.02,1520892000,9.87,292,4.28
16,12,16,37.681,-121.775,3,2018,67.85,,55.11,0.64,clear-day,0.0,0.0,,1013.42,Clear,67.85,1520895600,9.78,236,7.79
17,12,17,37.681,-121.775,3,2018,64.61,,56.15,0.74,clear-day,0.0048,0.12,rain,1013.33,Clear,64.61,1520899200,8.55,266,3.38
18,12,18,37.681,-121.775,3,2018,61.29,,58.47,0.91,rain,0.0522,0.95,rain,1013.45,Light Rain,61.2,1520902800,6.06,167,2.67
19,12,19,37.681,-121.775,3,2018,60.58,,58.63,0.94,rain,0.0278,0.81,rain,1012.98,Light Rain,60.43,1520906400,8.87,202,4.49
20,12,20,37.681,-121.775,3,2018,60.77,,58.66,0.93,clear-night,0.0012,0.12,rain,1012.86,Clear,60.63,1520910000,9.87,183,3.09
21,12,21,37.681,-121.775,3,2018,60.44,0.31,58.68,0.94,partly-cloudy-night,0.0,0.0,,1012.96,Partly Cloudy,60.27,1520913600,9.87,159,2.25
22,12,22,37.681,-121.775,3,2018,61.0,0.29,56.96,0.87,partly-cloudy-night,0.0,0.0,,1013.44,Partly Cloudy,61.0,1520917200,9.64,202,5.83
