,timestamp,station,district,freeway,direction,laneType,length,numSamples,percentObs,flow,occupancy,speed
656,04/05/2018 00:00:00,401211,4,80,W,ML,0.355,60,100,110.0,0.0135,69.3
910,04/05/2018 00:00:00,401698,4,80,W,ML,0.62,50,0,389.0,0.0414,59.7
2406,04/05/2018 00:00:00,405602,4,80,W,ML,0.385,50,100,109.0,0.0184,71.5
4507,04/05/2018 00:05:00,401211,4,80,W,ML,0.355,59,100,121.0,0.0157,68.3
4761,04/05/2018 00:05:00,401698,4,80,W,ML,0.62,50,0,367.0,0.0491,57.3
6257,04/05/2018 00:05:00,405602,4,80,W,ML,0.385,49,100,127.0,0.021,70.4
8358,04/05/2018 00:10:00,401211,4,80,W,ML,0.355,60,100,115.0,0.0141,67.9
8612,04/05/2018 00:10:00,401698,4,80,W,ML,0.62,50,0,381.0,0.0456,58.7
10108,04/05/2018 00:10:00,405602,4,80,W,ML,0.385,49,100,102.0,0.0164,70.7
12209,04/05/2018 00:15:00,401211,4,80,W,ML,0.355,60,100,114.0,0.015,68.7
12463,04/05/2018 00:15:00,401698,4,80,W,ML,0.62,50,0,454.0,0.0479,57.1
13959,04/05/2018 00:15:00,405602,4,80,W,ML,0.385,50,100,117.0,0.0182,70.5
16060,04/05/2018 00:20:00,401211,4,80,W,ML,0.355,60,100,123.0,0.0156,68.3
16314,04/05/2018 00:20:00,401698,4,80,W,ML,0.62,50,0,469.0,0.0502,58.1
17810,04/05/2018 00:20:00,405602,4,80,W,ML,0.385,50,100,116.0,0.0221,68.0
19911,04/05/2018 00:25:00,401211,4,80,W,ML,0.355,60,100,117.0,0.0154,66.9
20165,04/05/2018 00:25:00,401698,4,80,W,ML,0.62,50,0,448.0,0.0415,57.2
21661,04/05/2018 00:25:00,405602,4,80,W,ML,0.385,50,100,119.0,0.0209,67.5
23762,04/05/2018 00:30:00,401211,4,80,W,ML,0.355,60,100,117.0,0.0134,69.1
24016,04/05/2018 00:30:00,401698,4,80,W,ML,0.62,50,0,431.0,0.0459,59.1
25512,04/05/2018 00:30:00,405602,4,80,W,ML,0.385,50,100,115.0,0.0164,70.9
27613,04/05/2018 00:35:00,401211,4,80,W,ML,0.355,60,100,109.0,0.0153,68.4
27867,04/05/2018 00:35:00,401698,4,80,W,ML,0.62,50,0,373.0,0.0477,58.3
29363,04/05/2018 00:35:00,405602,4,80,W,ML,0.385,50,100,102.0,0.0196,69.4
31464,04/05/2018 00:40:00,401211,4,80,W,ML,0.355,60,100,107.0,0.0144,67.4
31718,04/05/2018 00:40:00,401698,4,80,W,ML,0.62,50,0,375.0,0.0472,56.5
33214,04/05/2018 00:40:00,405602,4,80,W,ML,0.385,50,100,94.0,0.0163,69.5
35315,04/05/2018 00:45:00,401211,4,80,W,ML,0.355,60,100,91.0,0.0131,66.3
35569,04/05/2018 00:45:00,401698,4,80,W,ML,0.62,50,0,338.0,0.0436,55.6
37065,04/05/2018 00:45:00,405602,4,80,W,ML,0.385,50,100,90.0,0.018000000000000002,66.9
39166,04/05/2018 00:50:00,401211,4,80,W,ML,0.355,60,100,67.0,0.0082,66.8
39420,04/05/2018 00:50:00,401698,4,80,W,ML,0.62,50,0,301.0,0.033,56.6
40916,04/05/2018 00:50:00,405602,4,80,W,ML,0.385,50,100,70.0,0.0125,67.3
43017,04/05/2018 00:55:00,401211,4,80,W,ML,0.355,60,100,103.0,0.0135,67.3
43271,04/05/2018 00:55:00,401698,4,80,W,ML,0.62,50,0,379.0,0.0421,58.2
44767,04/05/2018 00:55:00,405602,4,80,W,ML,0.385,50,100,101.0,0.0171,69.1
46868,04/05/2018 01:00:00,401211,4,80,W,ML,0.355,60,100,91.0,0.0113,69.0
47122,04/05/2018 01:00:00,401698,4,80,W,ML,0.62,50,0,355.0,0.0418,58.3
48618,04/05/2018 01:00:00,405602,4,80,W,ML,0.385,50,100,89.0,0.0155,69.3
50719,04/05/2018 01:05:00,401211,4,80,W,ML,0.355,60,100,69.0,0.0073,69.1
50973,04/05/2018 01:05:00,401698,4,80,W,ML,0.62,50,0,232.0,0.0303,58.7
52469,04/05/2018 01:05:00,405602,4,80,W,ML,0.385,50,100,70.0,0.0095,71.6
54570,04/05/2018 01:10:00,401211,4,80,W,ML,0.355,60,100,79.0,0.0105,68.8
54824,04/05/2018 01:10:00,401698,4,80,W,ML,0.62,50,0,303.0,0.0381,57.5
56320,04/05/2018 01:10:00,405602,4,80,W,ML,0.385,50,100,77.0,0.0135,70.7
58421,04/05/2018 01:15:00,401211,4,80,W,ML,0.355,60,100,87.0,0.0112,69.7
58675,04/05/2018 01:15:00,401698,4,80,W,ML,0.62,50,0,367.0,0.0355,57.9
60171,04/05/2018 01:15:00,405602,4,80,W,ML,0.385,50,100,80.0,0.0139,71.0
