,DAY,HOUR,LAT,LON,MONTH,YEAR,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,visibility,windBearing,windSpeed
0,9,0,37.681,-121.775,4,2018,51.19,0.0,47.59,0.87,clear-night,0.0,0.0,,1020.67,Clear,51.19,1523257200,9.86,100,3.06
1,9,1,37.681,-121.775,4,2018,51.12,0.0,47.09,0.86,clear-night,0.0,0.0,,1020.4,Clear,51.12,1523260800,9.86,164,1.61
2,9,2,37.681,-121.775,4,2018,49.9,0.0,47.28,0.91,clear-night,0.0,0.0,,1020.52,Clear,49.9,1523264400,9.86,62,1.41
3,9,3,37.681,-121.775,4,2018,49.23,0.0,46.83,0.91,clear-night,0.0,0.0,,1020.01,Clear,49.23,1523268000,9.86,86,1.84
4,9,4,37.681,-121.775,4,2018,48.86,0.0,46.46,0.91,clear-night,0.0,0.0,,1019.58,Clear,48.86,1523271600,9.86,144,2.22
5,9,5,37.681,-121.775,4,2018,48.29,0.0,46.24,0.93,clear-night,0.0,0.0,,1019.38,Clear,48.29,1523275200,9.86,135,2.81
6,9,6,37.681,-121.775,4,2018,46.19,0.0,45.59,0.93,clear-night,0.0,0.0,,1019.18,Clear,47.64,1523278800,10.0,139,3.94
7,9,7,37.681,-121.775,4,2018,46.63,0.0,45.56,0.93,clear-day,0.0,0.0,,1019.12,Clear,47.62,1523282400,10.0,127,3.38
8,9,8,37.681,-121.775,4,2018,50.49,0.0,47.26,0.89,clear-day,0.0,0.0,,1019.27,Clear,50.49,1523286000,10.0,113,2.51
9,9,9,37.681,-121.775,4,2018,55.4,0.0,49.81,0.81,clear-day,0.0,0.0,,1019.04,Clear,55.4,1523289600,9.88,93,3.84
10,9,10,37.681,-121.775,4,2018,61.03,0.0,47.83,0.62,clear-day,0.0,0.0,,1018.74,Clear,61.03,1523293200,9.88,97,6.25
11,9,11,37.681,-121.775,4,2018,64.44,0.04,46.63,0.52,clear-day,0.0,0.0,,1018.54,Clear,64.44,1523296800,9.88,54,7.89
12,9,12,37.681,-121.775,4,2018,66.84,0.04,47.29,0.49,clear-day,0.0,0.0,,1018.18,Clear,66.84,1523300400,9.88,51,5.73
13,9,13,37.681,-121.775,4,2018,69.6,0.04,45.86,0.43,clear-day,0.0,0.0,,1017.4,Clear,69.6,1523304000,9.88,54,6.54
14,9,14,37.681,-121.775,4,2018,71.47,0.04,47.01,0.42,clear-day,0.0,0.0,,1016.68,Clear,71.47,1523307600,9.87,57,3.94
15,9,15,37.681,-121.775,4,2018,73.42,0.06,48.52,0.41,clear-day,0.0,0.0,,1015.85,Clear,73.42,1523311200,9.88,23,5.45
16,9,16,37.681,-121.775,4,2018,73.49,0.0,51.29,0.46,clear-day,0.0,0.0,,1014.81,Clear,73.49,1523314800,9.88,41,5.3
17,9,17,37.681,-121.775,4,2018,73.49,0.0,51.7,0.46,clear-day,0.0,0.0,,1014.52,Clear,73.49,1523318400,9.88,25,5.41
18,9,18,37.681,-121.775,4,2018,72.71,0.0,52.72,0.5,clear-day,0.0,0.0,,1014.34,Clear,72.71,1523322000,9.88,18,4.75
19,9,19,37.681,-121.775,4,2018,70.89,0.0,53.52,0.54,clear-day,0.0,0.0,,1014.37,Clear,70.89,1523325600,9.88,349,4.22
20,9,20,37.681,-121.775,4,2018,69.12,0.0,54.38,0.59,clear-night,0.0,0.0,,1014.8,Clear,69.12,1523329200,9.88,304,5.75
21,9,21,37.681,-121.775,4,2018,66.53,0.0,56.0,0.69,clear-night,0.0,0.0,,1015.22,Clear,66.53,1523332800,9.88,20,0.83
22,9,22,37.681,-121.775,4,2018,66.17,0.27,55.93,0.7,partly-cloudy-night,0.0,0.0,,1015.66,Partly Cloudy,66.17,1523336400,9.87,60,0.78
23,9,23,37.681,-121.775,4,2018,65.13,0.0,56.25,0.73,clear-night,0.0,0.0,,1015.35,Clear,65.13,1523340000,9.86,340,2.57
0,10,0,37.681,-121.775,4,2018,64.08,0.0,56.46,0.76,clear-night,0.0,0.0,,1015.58,Clear,64.08,1523343600,9.86,316,4.43
1,10,1,37.681,-121.775,4,2018,62.96,0.0,56.6,0.8,clear-night,0.0,0.0,,1015.98,Clear,62.96,1523347200,9.86,286,7.09
